"Week of","Commits"
"2009-04-05",1
"2009-04-12",33
"2009-04-19",0
"2009-04-26",8
"2009-05-03",15
"2009-05-10",24
"2009-05-17",32
"2009-05-24",2
"2009-05-31",0
"2009-06-07",9
"2009-06-14",9
"2009-06-21",22
"2009-06-28",11
"2009-07-05",12
"2009-07-12",7
"2009-07-19",20
"2009-07-26",12
"2009-08-02",17
"2009-08-09",10
"2009-08-16",23
"2009-08-23",57
"2009-08-30",27
"2009-09-06",15
"2009-09-13",1
"2009-09-20",12
"2009-09-27",13
"2009-10-04",4
"2009-10-11",10
"2009-10-18",11
"2009-10-25",24
"2009-11-01",6
"2009-11-08",3
"2009-11-15",9
"2009-11-22",9
"2009-11-29",0
"2009-12-06",8
"2009-12-13",1
"2009-12-20",16
"2009-12-27",42
"2010-01-03",8
"2010-01-10",26
"2010-01-17",17
"2010-01-24",5
"2010-01-31",12
"2010-02-07",6
"2010-02-14",0
"2010-02-21",0
"2010-02-28",1
"2010-03-07",1
"2010-03-14",0
"2010-03-21",0
"2010-03-28",0
"2010-04-04",0
"2010-04-11",3
"2010-04-18",20
"2010-04-25",24
"2010-05-02",17
"2010-05-09",13
"2010-05-16",26
"2010-05-23",11
"2010-05-30",9
"2010-06-06",20
"2010-06-13",6
"2010-06-20",3
"2010-06-27",20
"2010-07-04",24
"2010-07-11",0
"2010-07-18",0
"2010-07-25",11
"2010-08-01",4
"2010-08-08",0
"2010-08-15",0
"2010-08-22",0
"2010-08-29",1
"2010-09-05",8
"2010-09-12",12
"2010-09-19",6
"2010-09-26",16
"2010-10-03",22
"2010-10-10",40
"2010-10-17",11
"2010-10-24",18
"2010-10-31",46
"2010-11-07",19
"2010-11-14",13
"2010-11-21",35
"2010-11-28",0
"2010-12-05",14
"2010-12-12",0
"2010-12-19",1
"2010-12-26",0
"2011-01-02",0
"2011-01-09",10
"2011-01-16",2
"2011-01-23",3
"2011-01-30",4
"2011-02-06",6
"2011-02-13",4
"2011-02-20",0
"2011-02-27",14
"2011-03-06",12
"2011-03-13",5
"2011-03-20",0
"2011-03-27",0
"2011-04-03",0
"2011-04-10",3
"2011-04-17",7
"2011-04-24",0
"2011-05-01",1
"2011-05-08",6
"2011-05-15",11
"2011-05-22",58
"2011-05-29",10
"2011-06-05",0
"2011-06-12",9
"2011-06-19",2
"2011-06-26",10
"2011-07-03",32
"2011-07-10",15
"2011-07-17",4
"2011-07-24",2
"2011-07-31",1
"2011-08-07",0
"2011-08-14",10
"2011-08-21",0
"2011-08-28",5
"2011-09-04",0
"2011-09-11",1
"2011-09-18",14
"2011-09-25",2
"2011-10-02",0
"2011-10-09",2
"2011-10-16",6
"2011-10-23",3
"2011-10-30",0
"2011-11-06",22
"2011-11-13",17
"2011-11-20",1
"2011-11-27",7
"2011-12-04",2
"2011-12-11",8
"2011-12-18",8
"2011-12-25",9
"2012-01-01",2
"2012-01-08",0
"2012-01-15",2
"2012-01-22",0
"2012-01-29",7
"2012-02-05",6
"2012-02-12",0
"2012-02-19",0
"2012-02-26",0
"2012-03-04",1
"2012-03-11",2
"2012-03-18",5
"2012-03-25",2
"2012-04-01",0
"2012-04-08",1
"2012-04-15",1
"2012-04-22",1
"2012-04-29",2
"2012-05-06",5
"2012-05-13",7
"2012-05-20",6
"2012-05-27",1
"2012-06-03",7
"2012-06-10",5
"2012-06-17",10
"2012-06-24",7
"2012-07-01",6
"2012-07-08",1
"2012-07-15",12
"2012-07-22",3
"2012-07-29",12
"2012-08-05",3
"2012-08-12",4
"2012-08-19",6
"2012-08-26",5
"2012-09-02",2
"2012-09-09",2
"2012-09-16",15
"2012-09-23",10
"2012-09-30",16
"2012-10-07",9
"2012-10-14",38
"2012-10-21",13
"2012-10-28",12
"2012-11-04",23
"2012-11-11",5
"2012-11-18",14
"2012-11-25",3
"2012-12-02",1
"2012-12-09",2
"2012-12-16",2
"2012-12-23",2
"2012-12-30",0
"2013-01-06",1
"2013-01-13",1
"2013-01-20",5
"2013-01-27",2
"2013-02-03",5
"2013-02-10",15
"2013-02-17",0
"2013-02-24",0
"2013-03-03",1
"2013-03-10",1
"2013-03-17",9
"2013-03-24",6
"2013-03-31",1
"2013-04-07",0
"2013-04-14",9
"2013-04-21",1
"2013-04-28",7
"2013-05-05",20
"2013-05-12",4
"2013-05-19",7
"2013-05-26",4
"2013-06-02",2
"2013-06-09",2
"2013-06-16",1
"2013-06-23",3
"2013-06-30",16
"2013-07-07",10
"2013-07-14",6
"2013-07-21",12
"2013-07-28",34
"2013-08-04",9
"2013-08-11",11
"2013-08-18",0
"2013-08-25",0
"2013-09-01",14
"2013-09-08",4
"2013-09-15",0
"2013-09-22",16
"2013-09-29",47
"2013-10-06",14
"2013-10-13",6
"2013-10-20",8
"2013-10-27",2
"2013-11-03",0
"2013-11-10",12
"2013-11-17",39
"2013-11-24",2
"2013-12-01",17
"2013-12-08",55
"2013-12-15",30
"2013-12-22",1
"2013-12-29",0
"2014-01-05",2
"2014-01-12",10
"2014-01-19",50
"2014-01-26",17
"2014-02-02",0
"2014-02-09",1
"2014-02-16",2
"2014-02-23",0
"2014-03-02",3
"2014-03-09",15
"2014-03-16",0
"2014-03-23",28
"2014-03-30",48
"2014-04-06",14
"2014-04-13",6
"2014-04-20",0
"2014-04-27",1
"2014-05-04",3
"2014-05-11",9
"2014-05-18",2
"2014-05-25",3
"2014-06-01",4
"2014-06-08",1
"2014-06-15",2
"2014-06-22",1
"2014-06-29",9
"2014-07-06",2
"2014-07-13",14
"2014-07-20",5
"2014-07-27",27
"2014-08-03",8
"2014-08-10",4
"2014-08-17",11
"2014-08-24",3
"2014-08-31",16
"2014-09-07",3
"2014-09-14",8
"2014-09-21",24
"2014-09-28",18
"2014-10-05",59
"2014-10-12",9
"2014-10-19",15
"2014-10-26",6
"2014-11-02",0
"2014-11-09",0
"2014-11-16",0
"2014-11-23",2
"2014-11-30",0
"2014-12-07",0
"2014-12-14",0
"2014-12-21",0
"2014-12-28",0
"2015-01-04",1
"2015-01-11",1
"2015-01-18",2
"2015-01-25",0
"2015-02-01",0
"2015-02-08",6
"2015-02-15",3
"2015-02-22",28
"2015-03-01",10
"2015-03-08",6
"2015-03-15",6
"2015-03-22",17
"2015-03-29",16
"2015-04-05",6
"2015-04-12",16
"2015-04-19",47
"2015-04-26",27
"2015-05-03",17
"2015-05-10",2
"2015-05-17",10
"2015-05-24",0
"2015-05-31",19
"2015-06-07",1
"2015-06-14",50
"2015-06-21",31
"2015-06-28",8
"2015-07-05",16
"2015-07-12",40
"2015-07-19",31
"2015-07-26",19
"2015-08-02",35
"2015-08-09",11
"2015-08-16",9
"2015-08-23",25
"2015-08-30",11
"2015-09-06",4
"2015-09-13",57
"2015-09-20",75
"2015-09-27",65
"2015-10-04",26
"2015-10-11",10
"2015-10-18",4
"2015-10-25",3
"2015-11-01",10
"2015-11-08",1
"2015-11-15",7
"2015-11-22",15
"2015-11-29",37
"2015-12-06",43
"2015-12-13",12
"2015-12-20",13
"2015-12-27",17
"2016-01-03",12
"2016-01-10",7
"2016-01-17",16
"2016-01-24",23
"2016-01-31",14
"2016-02-07",19
"2016-02-14",27
"2016-02-21",17
"2016-02-28",29
"2016-03-06",21
"2016-03-13",25
"2016-03-20",26
"2016-03-27",9
"2016-04-03",6
"2016-04-10",3
"2016-04-17",15
"2016-04-24",9
"2016-05-01",1
"2016-05-08",5
"2016-05-15",6
"2016-05-22",8
"2016-05-29",31
"2016-06-05",8
"2016-06-12",13
"2016-06-19",101
"2016-06-26",26
"2016-07-03",16
"2016-07-10",35
"2016-07-17",46
"2016-07-24",30
"2016-07-31",33
"2016-08-07",8
"2016-08-14",58
"2016-08-21",29
"2016-08-28",29
"2016-09-04",15
"2016-09-11",16
"2016-09-18",14
"2016-09-25",26
"2016-10-02",9
"2016-10-09",2
"2016-10-16",18
"2016-10-23",9
"2016-10-30",6
"2016-11-06",25
"2016-11-13",5
"2016-11-20",26
"2016-11-27",29
"2016-12-04",12
"2016-12-11",8
"2016-12-18",5
"2016-12-25",16
"2017-01-01",9
"2017-01-08",6
"2017-01-15",23
"2017-01-22",14
"2017-01-29",10
"2017-02-05",6
"2017-02-12",17
"2017-02-19",10
"2017-02-26",25
"2017-03-05",9
"2017-03-12",32
"2017-03-19",15
"2017-03-26",4
"2017-04-02",13
"2017-04-09",8
"2017-04-16",9
"2017-04-23",6
"2017-04-30",6
"2017-05-07",11
"2017-05-14",23
"2017-05-21",15
"2017-05-28",29
"2017-06-04",14
"2017-06-11",28
"2017-06-18",25
"2017-06-25",2
"2017-07-02",17
"2017-07-09",12
"2017-07-16",91
"2017-07-23",39
"2017-07-30",28
"2017-08-06",9
"2017-08-13",13
"2017-08-20",0
"2017-08-27",16
"2017-09-03",21
"2017-09-10",33
"2017-09-17",14
"2017-09-24",16
"2017-10-01",16
"2017-10-08",17
"2017-10-15",16
"2017-10-22",34
"2017-10-29",16
"2017-11-05",17
"2017-11-12",36
"2017-11-19",22
"2017-11-26",32
"2017-12-03",22
"2017-12-10",25
"2017-12-17",16
"2017-12-24",2
"2017-12-31",9
"2018-01-07",15
"2018-01-14",36
"2018-01-21",47
"2018-01-28",30
"2018-02-04",37
"2018-02-11",30
"2018-02-18",43
"2018-02-25",61
"2018-03-04",32
"2018-03-11",40
"2018-03-18",36
"2018-03-25",31
"2018-04-01",21
"2018-04-08",24
"2018-04-15",5
"2018-04-22",15
"2018-04-29",14
"2018-05-06",1
"2018-05-13",26
"2018-05-20",40
"2018-05-27",6
"2018-06-03",35
"2018-06-10",38
"2018-06-17",37
"2018-06-24",40
"2018-07-01",45
"2018-07-08",23
"2018-07-15",8
"2018-07-22",20
"2018-07-29",74
"2018-08-05",13
"2018-08-12",19
"2018-08-19",56
"2018-08-26",87
"2018-09-02",63
"2018-09-09",28
"2018-09-16",43
"2018-09-23",28
"2018-09-30",62
"2018-10-07",71
"2018-10-14",111
"2018-10-21",66
"2018-10-28",50
"2018-11-04",63
"2018-11-11",46
"2018-11-18",64
"2018-11-25",20
"2018-12-02",24
"2018-12-09",43
"2018-12-16",28
"2018-12-23",3
"2018-12-30",21
"2019-01-06",19
"2019-01-13",23
"2019-01-20",22
"2019-01-27",32
"2019-02-03",46
"2019-02-10",53
"2019-02-17",19
"2019-02-24",85
"2019-03-03",32
"2019-03-10",38
"2019-03-17",62
"2019-03-24",59
"2019-03-31",62
"2019-04-07",51
"2019-04-14",49
"2019-04-21",15
"2019-04-28",32
"2019-05-05",50
"2019-05-12",36
"2019-05-19",29
"2019-05-26",63
"2019-06-02",72
"2019-06-09",29
"2019-06-16",9
"2019-06-23",62
"2019-06-30",41
"2019-07-07",46
"2019-07-14",62
"2019-07-21",28
"2019-07-28",11
"2019-08-04",42
"2019-08-11",41
"2019-08-18",15
"2019-08-25",23
"2019-09-01",7
"2019-09-08",14
"2019-09-15",18
"2019-09-22",14
"2019-09-29",10
"2019-10-06",31
"2019-10-13",44
"2019-10-20",70
"2019-10-27",39
"2019-11-03",72
"2019-11-10",59
"2019-11-17",71
"2019-11-24",31
"2019-12-01",29
"2019-12-08",17
"2019-12-15",11
"2019-12-22",9
"2019-12-29",16
"2020-01-05",29
"2020-01-12",77
"2020-01-19",99
"2020-01-26",84
"2020-02-02",23
"2020-02-09",53
"2020-02-16",37
"2020-02-23",29
"2020-03-01",47
"2020-03-08",26
"2020-03-15",13
"2020-03-22",17
"2020-03-29",23
"2020-04-05",47
"2020-04-12",22
"2020-04-19",13
"2020-04-26",84
"2020-05-03",42
"2020-05-10",31
"2020-05-17",42
"2020-05-24",31
"2020-05-31",50
"2020-06-07",67
"2020-06-14",31
"2020-06-21",37
"2020-06-28",33
"2020-07-05",41
"2020-07-12",19
"2020-07-19",20
"2020-07-26",57
"2020-08-02",20
"2020-08-09",22
"2020-08-16",34
"2020-08-23",20
"2020-08-30",14
"2020-09-06",17
"2020-09-13",24
"2020-09-20",13
"2020-09-27",48
"2020-10-04",20
"2020-10-11",15
"2020-10-18",27
"2020-10-25",60
"2020-11-01",19
"2020-11-08",40
"2020-11-15",23
"2020-11-22",4
"2020-11-29",17
"2020-12-06",23
"2020-12-13",49
"2020-12-20",15
"2020-12-27",38
"2021-01-03",5
"2021-01-10",13
"2021-01-17",11
"2021-01-24",37
"2021-01-31",32
"2021-02-07",16
"2021-02-14",10
"2021-02-21",23
"2021-02-28",21
"2021-03-07",38
"2021-03-14",34
"2021-03-21",22
"2021-03-28",9
"2021-04-04",14
"2021-04-11",13
"2021-04-18",14
"2021-04-25",12
"2021-05-02",25
"2021-05-09",13
"2021-05-16",16
"2021-05-23",16
"2021-05-30",11
"2021-06-06",15
"2021-06-13",7
"2021-06-20",13
"2021-06-27",13
"2021-07-04",10
"2021-07-11",17
"2021-07-18",10
"2021-07-25",20
"2021-08-01",9
"2021-08-08",7
"2021-08-15",10
"2021-08-22",17
"2021-08-29",10
"2021-09-05",10
"2021-09-12",6
"2021-09-19",12
"2021-09-26",30
"2021-10-03",39
"2021-10-10",21
"2021-10-17",25
"2021-10-24",10
"2021-10-31",15
"2021-11-07",21
"2021-11-14",6
